Time     Temperature!     Force
88.231000 35.090000 35.090000 
88.338000 28.000000 28.000000 
88.705000 35.120000 35.120000 
88.826000 28.000000 28.000000 
89.145000 35.050000 35.050000 
89.266000 28.000000 28.000000 
89.606000 35.030000 35.030000 
89.727000 28.000000 28.000000 
90.067000 35.060000 35.060000 
90.174000 28.000000 28.000000 
90.518000 35.040000 35.040000 
90.638000 28.000000 28.000000 
90.956000 35.010000 35.010000 
91.077000 28.000000 28.000000 
91.416000 35.010000 35.010000 
91.537000 28.000000 28.000000 
91.876000 35.080000 35.080000 
91.996000 28.000000 28.000000 
92.317000 34.990000 34.990000 
92.439000 28.000000 28.000000 
92.779000 35.040000 35.040000 
92.900000 28.000000 28.000000 
93.239000 35.030000 35.030000 
93.360000 28.000000 28.000000 
93.679000 34.960000 34.960000 
93.788000 28.000000 28.000000 
94.134000 34.970000 34.970000 
94.255000 28.000000 28.000000 
94.594000 34.940000 34.940000 
94.715000 28.000000 28.000000 
95.055000 34.950000 34.950000 
95.176000 28.000000 28.000000 
95.512000 34.980000 34.980000 
95.633000 28.000000 28.000000 
95.952000 34.980000 34.980000 
96.070000 28.000000 28.000000 
96.410000 34.950000 34.950000 
96.530000 28.000000 28.000000 
96.868000 34.910000 34.910000 
96.989000 28.000000 28.000000 
97.308000 34.940000 34.940000 
97.428000 28.000000 28.000000 
97.766000 34.970000 34.970000 
97.887000 28.000000 28.000000 
98.226000 34.940000 34.940000 
98.347000 28.000000 28.000000 
98.686000 34.910000 34.910000 
98.806000 28.000000 28.000000 
99.125000 34.850000 34.850000 
99.246000 28.000000 28.000000 
99.583000 34.850000 34.850000 
99.705000 28.000000 28.000000 
100.040000 34.860000 34.860000 
100.160000 28.000000 28.000000 
100.500000 34.880000 34.880000 
100.621000 28.000000 28.000000 
100.941000 34.880000 34.880000 
101.062000 28.000000 28.000000 
101.407000 34.830000 34.830000 
101.527000 28.000000 28.000000 
101.846000 34.770000 34.770000 
101.967000 28.000000 28.000000 
102.307000 34.800000 34.800000 
102.428000 28.000000 28.000000 
102.767000 34.880000 34.880000 
102.888000 28.000000 28.000000 
103.207000 34.740000 34.740000 
103.327000 28.000000 28.000000 
103.665000 34.810000 34.810000 
103.785000 28.000000 28.000000 
104.125000 34.780000 34.780000 
104.246000 28.000000 28.000000 
104.566000 34.790000 34.790000 
104.673000 28.000000 28.000000 
105.038000 34.720000 34.720000 
105.158000 28.000000 28.000000 
105.476000 34.780000 34.780000 
105.598000 28.000000 28.000000 
105.938000 34.720000 34.720000 
106.059000 28.000000 28.000000 
106.400000 34.780000 34.780000 
106.520000 28.000000 28.000000 
106.839000 34.630000 34.630000 
106.959000 28.000000 28.000000 
107.299000 34.700000 34.700000 
107.420000 28.000000 28.000000 
107.762000 34.670000 34.670000 
107.883000 28.000000 28.000000 
108.201000 34.680000 34.680000 
108.321000 28.000000 28.000000 
108.661000 34.650000 34.650000 
108.783000 28.000000 28.000000 
109.124000 34.660000 34.660000 
109.244000 28.000000 28.000000 
109.562000 34.630000 34.630000 
109.682000 28.000000 28.000000 
110.022000 34.550000 34.550000 
110.142000 28.000000 28.000000 
110.481000 34.630000 34.630000 
110.601000 28.000000 28.000000 
110.937000 34.630000 34.630000 
111.057000 28.000000 28.000000 
111.374000 34.560000 34.560000 
111.495000 28.000000 28.000000 
111.836000 34.600000 34.600000 
111.957000 28.000000 28.000000 
112.295000 34.550000 34.550000 
112.415000 28.000000 28.000000 
112.745000 34.560000 34.560000 
112.866000 28.000000 28.000000 
113.205000 34.540000 34.540000 
113.325000 28.000000 28.000000 
113.644000 34.580000 34.580000 
113.764000 28.000000 28.000000 
114.097000 34.510000 34.510000 
114.218000 28.000000 28.000000 
114.558000 34.580000 34.580000 
114.679000 28.000000 28.000000 
115.017000 34.530000 34.530000 
115.137000 28.000000 28.000000 
115.457000 34.580000 34.580000 
115.578000 28.000000 28.000000 
115.918000 34.550000 34.550000 
116.024000 28.000000 28.000000 
116.370000 34.540000 34.540000 
116.490000 28.000000 28.000000 
116.832000 34.510000 34.510000 
116.952000 28.000000 28.000000 
117.272000 34.520000 34.520000 
117.392000 28.000000 28.000000 
117.735000 34.420000 34.420000 
117.856000 28.000000 28.000000 
118.180000 34.410000 34.410000 
118.301000 28.000000 28.000000 
118.639000 34.430000 34.430000 
118.760000 28.000000 28.000000 
119.099000 34.480000 34.480000 
119.219000 28.000000 28.000000 
119.560000 34.450000 34.450000 
119.680000 28.000000 28.000000 
119.999000 34.450000 34.450000 
120.119000 28.000000 28.000000 
120.460000 34.410000 34.410000 
120.580000 28.000000 28.000000 
120.907000 34.410000 34.410000 
121.028000 28.000000 28.000000 
121.366000 34.340000 34.340000 
121.487000 28.000000 28.000000 
121.826000 34.360000 34.360000 
121.948000 28.000000 28.000000 
122.277000 34.350000 34.350000 
122.397000 28.000000 28.000000 
122.716000 34.300000 34.300000 
122.838000 28.000000 28.000000 
123.178000 34.320000 34.320000 
123.299000 28.000000 28.000000 
123.637000 34.380000 34.380000 
123.757000 28.000000 28.000000 
124.079000 34.320000 34.320000 
124.199000 28.000000 28.000000 
124.541000 34.380000 34.380000 
124.661000 28.000000 28.000000 
125.000000 34.340000 34.340000 
125.120000 28.000000 28.000000 
125.457000 34.270000 34.270000 
125.577000 28.000000 28.000000 
125.895000 34.350000 34.350000 
126.015000 28.000000 28.000000 
126.354000 34.340000 34.340000 
126.474000 28.000000 28.000000 
126.816000 34.250000 34.250000 
126.936000 28.000000 28.000000 
127.267000 34.300000 34.300000 
127.387000 28.000000 28.000000 
127.707000 34.340000 34.340000 
127.828000 28.000000 28.000000 
128.179000 34.310000 34.310000 
128.299000 28.000000 28.000000 
128.618000 34.200000 34.200000 
128.738000 28.000000 28.000000 
129.076000 34.240000 34.240000 
129.196000 28.000000 28.000000 
129.526000 34.290000 34.290000 
129.647000 28.000000 28.000000 
129.985000 34.180000 34.180000 
130.106000 28.000000 28.000000 
130.445000 34.230000 34.230000 
130.565000 28.000000 28.000000 
130.883000 34.160000 34.160000 
130.991000 28.000000 28.000000 
131.338000 34.160000 34.160000 
131.459000 28.000000 28.000000 
131.800000 34.160000 34.160000 
131.920000 28.000000 28.000000 
132.259000 34.110000 34.110000 
132.380000 28.000000 28.000000 
132.718000 34.110000 34.110000 
132.825000 28.000000 28.000000 
133.169000 34.140000 34.140000 
133.289000 28.000000 28.000000 
133.607000 34.160000 34.160000 
133.728000 28.000000 28.000000 
134.068000 34.160000 34.160000 
134.189000 28.000000 28.000000 
134.528000 34.130000 34.130000 
134.648000 28.000000 28.000000 
134.970000 34.120000 34.120000 
135.090000 28.000000 28.000000 
135.430000 34.140000 34.140000 
135.551000 28.000000 28.000000 
135.892000 34.090000 34.090000 
136.013000 28.000000 28.000000 
136.332000 34.050000 34.050000 
136.453000 28.000000 28.000000 
136.793000 34.020000 34.020000 
136.914000 28.000000 28.000000 
137.235000 34.040000 34.040000 
137.355000 28.000000 28.000000 
137.695000 33.980000 33.980000 
137.815000 28.000000 28.000000 
138.154000 34.040000 34.040000 
138.274000 28.000000 28.000000 
138.613000 34.020000 34.020000 
138.733000 28.000000 28.000000 
139.051000 34.020000 34.020000 
139.159000 28.000000 28.000000 
139.504000 33.980000 33.980000 
139.624000 28.000000 28.000000 
139.964000 34.020000 34.020000 
140.085000 28.000000 28.000000 
140.426000 33.950000 33.950000 
140.546000 28.000000 28.000000 
140.865000 33.930000 33.930000 
140.972000 28.000000 28.000000 
141.337000 33.950000 33.950000 
141.457000 28.000000 28.000000 
141.776000 33.930000 33.930000 
141.897000 28.000000 28.000000 
142.237000 33.980000 33.980000 
142.358000 28.000000 28.000000 
142.699000 33.910000 33.910000 
142.821000 28.000000 28.000000 
143.140000 33.810000 33.810000 
143.260000 28.000000 28.000000 
143.600000 33.870000 33.870000 
143.720000 28.000000 28.000000 
144.057000 33.910000 33.910000 
144.179000 28.000000 28.000000 
144.495000 33.880000 33.880000 
144.616000 28.000000 28.000000 
144.962000 33.950000 33.950000 
145.082000 28.000000 28.000000 
145.421000 33.860000 33.860000 
145.542000 28.000000 28.000000 
145.861000 33.860000 33.860000 
145.982000 28.000000 28.000000 
146.320000 33.860000 33.860000 
146.440000 28.000000 28.000000 
146.781000 33.800000 33.800000 
146.901000 28.000000 28.000000 
147.220000 33.870000 33.870000 
147.342000 28.000000 28.000000 
147.681000 33.760000 33.760000 
147.801000 28.000000 28.000000 
148.141000 33.730000 33.730000 
148.261000 28.000000 28.000000 
148.581000 33.800000 33.800000 
148.702000 28.000000 28.000000 
149.043000 33.790000 33.790000 
149.163000 28.000000 28.000000 
149.501000 33.730000 33.730000 
149.622000 28.000000 28.000000 
149.940000 33.710000 33.710000 
150.060000 28.000000 28.000000 
150.400000 33.730000 33.730000 
150.520000 28.000000 28.000000 
150.861000 33.770000 33.770000 
150.982000 28.000000 28.000000 
151.303000 33.750000 33.750000 
151.424000 28.000000 28.000000 
151.764000 33.680000 33.680000 
151.887000 28.000000 28.000000 
152.228000 33.730000 33.730000 
152.348000 28.000000 28.000000 
152.667000 33.680000 33.680000 
152.788000 28.000000 28.000000 
153.128000 33.730000 33.730000 
153.249000 28.000000 28.000000 
153.587000 33.730000 33.730000 
153.709000 28.000000 28.000000 
154.026000 33.700000 33.700000 
154.147000 28.000000 28.000000 
154.486000 33.730000 33.730000 
154.607000 28.000000 28.000000 
154.947000 33.640000 33.640000 
155.067000 28.000000 28.000000 
155.385000 33.660000 33.660000 
155.505000 28.000000 28.000000 
155.843000 33.660000 33.660000 
155.964000 28.000000 28.000000 
156.303000 33.630000 33.630000 
156.423000 28.000000 28.000000 
156.763000 33.640000 33.640000 
156.876000 28.000000 28.000000 
157.199000 33.620000 33.620000 
157.321000 28.000000 28.000000 
157.660000 33.640000 33.640000 
157.781000 28.000000 28.000000 
158.120000 33.580000 33.580000 
158.240000 28.000000 28.000000 
158.577000 33.590000 33.590000 
158.697000 28.000000 28.000000 
159.036000 33.570000 33.570000 
159.158000 28.000000 28.000000 
159.477000 33.500000 33.500000 
159.598000 28.000000 28.000000 
159.941000 33.530000 33.530000 
160.061000 28.000000 28.000000 
